ROW, FILEPATH, STATUS, SLURM_ARRAY_TASK_ID
4901, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09806/SS.09806_SS.17215.h5, FAILED, 49
3401, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10358/SS.10358_SS.14768.h5, FAILED, 34
501, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.16507/SS.16507_SS.19744.h5, FAILED, 5
5101, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09304/SS.09304_SS.14976.h5, FAILED, 51
4301, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.16694/SS.16694_SS.17455.h5, FAILED, 43
1301, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14753/SS.14753_SS.15350.h5, FAILED, 13
2501, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17859/SS.17859_SS.18596.h5, FAILED, 25
6000, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10221/SS.10221_SS.10813.h5, FAILED, 60
2601, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09574/SS.09574_SS.10197.h5, FAILED, 26
5501, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14457/SS.14457_SS.16793.h5, FAILED, 55
4801, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14578/SS.14578_SS.17544.h5, FAILED, 48
1901, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.18308/SS.18308_SS.18596.h5, FAILED, 19
1501, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.06585/SS.06585_SS.09304.h5, FAILED, 15
4501, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09637/SS.09637_SS.17273.h5, FAILED, 45
1201, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09268/SS.09268_SS.14578.h5, FAILED, 12
4401, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09637/SS.09637_SS.18411.h5, FAILED, 44
1101, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09268/SS.09268_SS.10820.h5, FAILED, 11
3201, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09629/SS.09629_SS.18411.h5, FAILED, 32
201, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15636/SS.15636_SS.18308.h5, FAILED, 2
101, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07499/SS.07499_SS.16490.h5, FAILED, 1
