,names,starttime,endtime
62,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10901..DPE.453010901.2023.09.30.00.00.00.000.E.miniseed,1696032000.0,1696118400.0
63,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10916..DPE.453010916.2023.10.09.00.00.00.000.E.miniseed,1696809600.0,1696896000.0
64,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10373..DPN.453010373.2023.09.30.00.00.00.000.N.miniseed,1696032000.0,1696118400.0
65,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.04548..DPZ.453004548.2023.10.20.00.00.00.000.Z.miniseed,1697760000.0,1697846400.0
66,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14648..DPZ.453014648.2023.10.11.00.00.00.000.Z.miniseed,1696982400.0,1697068800.0
67,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17858..DPZ.453017858.2023.10.20.00.00.00.000.Z.miniseed,1697760000.0,1697846400.0
68,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10278..DPZ.453010278.2023.10.18.00.00.00.000.Z.miniseed,1697587200.0,1697673600.0
69,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17542..DPN.453017542.2023.10.21.00.00.00.000.N.miniseed,1697846400.0,1697932800.0
70,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10778..DPE.453010778.2023.10.26.00.00.00.000.E.miniseed,1698278400.0,1698333850.0
71,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.16870..DPN.453016870.2023.10.10.00.00.00.000.N.miniseed,1696896000.0,1696982399.0
72,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17442..DPN.453017442.2023.10.02.00.00.00.000.N.miniseed,1696204800.0,1696291200.0
73,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18462..DPZ.453018462.2023.10.19.00.00.00.000.Z.miniseed,1697673600.0,1697760000.0
74,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17018..DPN.453017018.2023.10.21.00.00.00.000.N.miniseed,1697846400.0,1697907498.0
75,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10485..DPN.453010485.2023.10.08.00.00.00.000.N.miniseed,1696723200.0,1696809600.0
76,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.16970..DPE.453016970.2023.10.06.00.00.00.000.E.miniseed,1696550400.0,1696636800.0
77,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.20193..DPN.453020193.2023.10.14.00.00.00.000.N.miniseed,1697241600.0,1697328000.0
78,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.15672..DPN.453015672.2023.10.17.00.00.00.000.N.miniseed,1697500800.0,1697587200.0
79,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10845..DPZ.453010845.2023.10.11.00.00.00.000.Z.miniseed,1696982400.0,1697068800.0
80,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18539..DPN.453018539.2023.10.24.00.00.00.000.N.miniseed,1698105600.0,1698192000.0
81,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17940..DPN.453017940.2023.10.22.00.00.00.000.N.miniseed,1697932800.0,1698019200.0
82,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09508..DPN.453009508.2023.10.03.00.00.00.000.N.miniseed,1696291200.0,1696377600.0
83,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17455..DPE.453017455.2023.10.08.00.00.00.000.E.miniseed,1696723200.0,1696809600.0
