network,station,channel,latitude,longitude,elevation,serial_number
SS,14599,DPZ,41.42215512084702,25.71128400754957,334.77365439093484,453014599
SS,10922,DPZ,41.423213578371104,25.67846722474504,405.10764872521247,453010922
SS,10753,DPZ,41.429991034470255,25.678082164773368,318.8518413597734,453010753
SS,18638,DPZ,41.43473950188068,25.70544468369886,261.6650568181818,453018638
SS,20247,DPZ,41.421498630784704,25.717328400373933,365.6379603399433,453020247
SS,14461,DPZ,41.43115849573654,25.67207831584986,326.8118980169972,453014461
SS,17130,DPZ,41.433803630207386,25.67510651372443,266.73835227272724,453017130
SS,15636,DPZ,41.42127487214204,25.72029649524148,320.5892045454545,453015636
SS,10278,DPZ,41.42720954532295,25.68447072236827,305.5903682719547,453010278
SS,17223,DPZ,41.42911514,25.72621831778187,319.2444759206799,453017223
SS,16490,DPZ,41.41709639849009,25.71724132010482,429.6246458923513,453016490
SS,17929,DPZ,41.42967979883853,25.68105399,321.2750708215297,453017929
SS,18272,DPZ,41.432098781250005,25.68121875709944,286.80738636363634,453018272
SS,09309,DPZ,41.42604837816714,25.71704363407932,294.9512747875354,453009309
SS,16970,DPZ,41.41673922161648,25.72077594222728,447.8980113636363,453016970
SS,10935,DPZ,41.43764919175852,25.747671126857952,334.96590909090907,453010935
SS,17018,DPZ,41.43830020395184,25.67518226109632,279.3926345609065,453017018
SS,17016,DPZ,41.43998292114731,25.747088348453257,329.4099150141643,453017016
SS,16684,DPZ,41.43703932434844,25.69614727428895,257.1657223796034,453016684
SS,10222,DPZ,41.437763458436265,25.68975820304249,292.3263456090652,453010222
SS,17853,DPZ,41.431619381014166,25.67526364,277.5237960339944,453017853
SS,17373,DPZ,41.44788566430878,25.662775440988668,228.1291784702549,453017373
SS,10759,DPZ,41.43771058,25.66911688303409,232.0258522727273,453010759
SS,09806,DPZ,41.44274291078187,25.67736154487252,229.4985835694051,453009806
SS,10872,DPZ,41.44060259913881,25.67498116522096,270.94164305949005,453010872
SS,09332,DPZ,41.42186315391501,25.693357850331445,390.9558073654391,453009332
SS,09508,DPZ,41.42629235504533,25.690429569410764,334.09376770538245,453009508
SS,03659,DPZ,41.43351405289235,25.67236361519264,286.0311614730878,453003659
SS,10901,DPZ,41.44014682246459,25.67194998584702,228.96770538243624,453010901
SS,15907,DPZ,41.43682703730878,25.663235061883857,261.2407932011332,453015907
SS,15157,DPZ,41.43287511943909,25.692946439101984,344.6002833,453015157
SS,16415,DPZ,41.43360681493768,25.69602167566856,306.22974504249294,453016415
SS,05322,DPN,41.429657395643055,25.73428324501416,342.86203966005667,453005322
SS,06524,DPN,41.43155908213882,25.732221468838528,318.21813031161474,453006524
SS,06569,DPN,41.44365747,25.663199796414776,274.90568181818185,453006569
SS,06585,DPN,41.43229193248159,25.73773065060623,341.43371104815867,453006585
SS,07111,DPN,41.43941295974716,25.74372918417897,366.7928977272728,453007111
SS,07357,DPN,41.43194591593201,25.73512900610765,302.3144476,453007357
SS,14564,DPN,41.446187317274784,25.66577496412181,230.3716714,453014564
SS,14938,DPN,41.43440065621876,25.73807862169034,391.1176136363637,453014938
SS,15427,DPN,41.43054945844476,25.73748896,359.84334277620394,453015427
SS,15562,DPN,41.42300764069972,25.70257694284136,336.37620396600573,453015562
SS,15730,DPN,41.43412663741643,25.73513531963456,370.53937677053824,453015730
SS,15967,DPN,41.43250846694335,25.741126556643056,410.7866856,453015967
SS,16006,DPN,41.43733516005949,25.743872872526907,408.73597733711046,453016006
SS,17952,DPN,41.42643217709943,25.72588766477273,335.2269886363636,453017952
SS,18308,DPN,41.42689662747309,25.67540756186119,310.5269121813031,453018308
SS,18462,DPN,41.44020115484136,25.75010041690935,374.92719546742205,453018462
SS,09629,DPN,41.44358454485835,25.67171084938244,242.42634560906515,453009629
SS,04916,DPN,41.439516310613634,25.666000556818187,246.0321022727273,453004916
SS,16814,DPN,41.42445453977557,25.68756251514773,345.9423295454546,453016814
SS,18042,DPN,41.43449982011332,25.70150211710198,308.63796033994333,453018042
SS,18411,DPN,41.43514204579321,25.69283508449008,339.20991501416427,453018411
SS,09448,DPN,41.440711687898016,25.73908883992351,324.55297450424933,453009448
SS,18157,DPN,41.44050086034375,25.73643066,313.4644886363636,453018157
SS,09431,DPN,41.42897047,25.687271451858354,303.0147309,453009431
SS,10509,DPN,41.43801720502841,25.671986172818183,238.93607954545453,453010509
SS,14625,DPN,41.435774743626055,25.72583786401133,280.0184135977337,453014625
SS,10275,DPN,41.42416876107932,25.690345879620395,373.75070821529744,453010275
SS,10913,DPN,41.44344366431728,25.66651995282436,266.75325779036825,453010913
SS,17227,DPN,41.44298665155241,25.669036574589235,266.67677053824366,453017227
